Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
1,../../data/meterdata/london/block_71.csv,24/04/2025 11:12:49 +02:00,24/04/2025 11:12:50 +02:00,194,1384128,864
2,../../data/meterdata/london/block_65.csv,24/04/2025 11:12:55 +02:00,24/04/2025 11:12:56 +02:00,146,1330608,882
3,../../data/meterdata/london/block_59.csv,24/04/2025 11:12:56 +02:00,24/04/2025 11:12:57 +02:00,211,1425696,846
4,../../data/meterdata/london/block_58.csv,24/04/2025 11:12:57 +02:00,24/04/2025 11:12:58 +02:00,227,1470144,900
5,../../data/meterdata/london/block_64.csv,24/04/2025 11:12:58 +02:00,24/04/2025 11:13:00 +02:00,257,1509264,869
6,../../data/meterdata/london/block_70.csv,24/04/2025 11:13:00 +02:00,24/04/2025 11:13:01 +02:00,155,1383312,864
7,../../data/meterdata/london/block_99.csv,24/04/2025 11:13:01 +02:00,24/04/2025 11:13:02 +02:00,331,1594800,900
8,../../data/meterdata/london/block_66.csv,24/04/2025 11:13:02 +02:00,24/04/2025 11:13:03 +02:00,75,1288656,882
9,../../data/meterdata/london/block_72.csv,24/04/2025 11:13:03 +02:00,24/04/2025 11:13:04 +02:00,172,1387248,900
10,../../data/meterdata/london/block_73.csv,24/04/2025 11:13:04 +02:00,24/04/2025 11:13:05 +02:00,157,1368000,882
11,../../data/meterdata/london/block_67.csv,24/04/2025 11:13:05 +02:00,24/04/2025 11:13:07 +02:00,192,1429104,900
12,../../data/meterdata/london/block_98.csv,24/04/2025 11:13:07 +02:00,24/04/2025 11:13:08 +02:00,381,1617744,900
13,../../data/meterdata/london/block_88.csv,24/04/2025 11:13:08 +02:00,24/04/2025 11:13:09 +02:00,166,1394064,864
14,../../data/meterdata/london/block_63.csv,24/04/2025 11:13:09 +02:00,24/04/2025 11:13:10 +02:00,303,1552896,887
15,../../data/meterdata/london/block_77.csv,24/04/2025 11:13:10 +02:00,24/04/2025 11:13:12 +02:00,266,1503408,900
16,../../data/meterdata/london/block_76.csv,24/04/2025 11:13:12 +02:00,24/04/2025 11:13:13 +02:00,287,1537920,882
