Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
1,../../data/meterdata/london/block_66.csv,24/04/2025 11:24:31 +02:00,24/04/2025 11:24:34 +02:00,970,1288656,882
2,../../data/meterdata/london/block_70.csv,24/04/2025 11:24:31 +02:00,24/04/2025 11:24:34 +02:00,416,1383312,864
3,../../data/meterdata/london/block_65.csv,24/04/2025 11:24:31 +02:00,24/04/2025 11:24:34 +02:00,444,1330608,882
4,../../data/meterdata/london/block_88.csv,24/04/2025 11:24:31 +02:00,24/04/2025 11:24:34 +02:00,351,1394064,864
5,../../data/meterdata/london/block_72.csv,24/04/2025 11:24:31 +02:00,24/04/2025 11:24:34 +02:00,413,1387248,900
6,../../data/meterdata/london/block_73.csv,24/04/2025 11:24:31 +02:00,24/04/2025 11:24:34 +02:00,436,1368000,882
7,../../data/meterdata/london/block_71.csv,24/04/2025 11:24:31 +02:00,24/04/2025 11:24:34 +02:00,612,1384128,864
8,../../data/meterdata/london/block_59.csv,24/04/2025 11:24:31 +02:00,24/04/2025 11:24:34 +02:00,647,1425696,846
9,../../data/meterdata/london/block_58.csv,24/04/2025 11:24:31 +02:00,24/04/2025 11:24:34 +02:00,716,1470144,900
10,../../data/meterdata/london/block_67.csv,24/04/2025 11:24:31 +02:00,24/04/2025 11:24:34 +02:00,585,1429104,900
11,../../data/meterdata/london/block_64.csv,24/04/2025 11:24:31 +02:00,24/04/2025 11:24:35 +02:00,872,1509264,869
12,../../data/meterdata/london/block_63.csv,24/04/2025 11:24:31 +02:00,24/04/2025 11:24:35 +02:00,852,1552896,887
13,../../data/meterdata/london/block_99.csv,24/04/2025 11:24:31 +02:00,24/04/2025 11:24:35 +02:00,73,1594800,900
14,../../data/meterdata/london/block_98.csv,24/04/2025 11:24:31 +02:00,24/04/2025 11:24:35 +02:00,79,1617744,900
15,../../data/meterdata/london/block_77.csv,24/04/2025 11:24:34 +02:00,24/04/2025 11:24:37 +02:00,583,1503408,900
16,../../data/meterdata/london/block_89.csv,24/04/2025 11:24:34 +02:00,24/04/2025 11:24:37 +02:00,206,1410384,882
17,../../data/meterdata/london/block_60.csv,24/04/2025 11:24:34 +02:00,24/04/2025 11:24:38 +02:00,200,1362672,882
18,../../data/meterdata/london/block_61.csv,24/04/2025 11:24:34 +02:00,24/04/2025 11:24:38 +02:00,313,1416048,900
19,../../data/meterdata/london/block_62.csv,24/04/2025 11:24:34 +02:00,24/04/2025 11:24:38 +02:00,534,1492608,887
20,../../data/meterdata/london/block_76.csv,24/04/2025 11:24:34 +02:00,24/04/2025 11:24:38 +02:00,644,1537920,882
21,../../data/meterdata/london/block_74.csv,24/04/2025 11:24:34 +02:00,24/04/2025 11:24:38 +02:00,579,1524096,900
22,../../data/meterdata/london/block_48.csv,24/04/2025 11:24:34 +02:00,24/04/2025 11:24:38 +02:00,789,1592304,900
23,../../data/meterdata/london/block_75.csv,24/04/2025 11:24:34 +02:00,24/04/2025 11:24:38 +02:00,643,1554048,905
24,../../data/meterdata/london/block_49.csv,24/04/2025 11:24:34 +02:00,24/04/2025 11:24:38 +02:00,672,1529808,900
25,../../data/meterdata/london/block_5.csv,24/04/2025 11:24:35 +02:00,24/04/2025 11:24:38 +02:00,229,1404816,869
26,../../data/meterdata/london/block_4.csv,24/04/2025 11:24:35 +02:00,24/04/2025 11:24:38 +02:00,459,1463520,864
27,../../data/meterdata/london/block_108.csv,24/04/2025 11:24:35 +02:00,24/04/2025 11:24:38 +02:00,862,1579824,900
28,../../data/meterdata/london/block_12.csv,24/04/2025 11:24:35 +02:00,24/04/2025 11:24:39 +02:00,820,1580688,882
29,../../data/meterdata/london/block_6.csv,24/04/2025 11:24:38 +02:00,24/04/2025 11:24:41 +02:00,174,1396512,846
30,../../data/meterdata/london/block_109.csv,24/04/2025 11:24:37 +02:00,24/04/2025 11:24:41 +02:00,579,1462752,846
31,../../data/meterdata/london/block_13.csv,24/04/2025 11:24:37 +02:00,24/04/2025 11:24:41 +02:00,699,1563504,864
32,../../data/meterdata/london/block_7.csv,24/04/2025 11:24:38 +02:00,24/04/2025 11:24:41 +02:00,437,1458432,810
33,../../data/meterdata/london/block_11.csv,24/04/2025 11:24:38 +02:00,24/04/2025 11:24:41 +02:00,849,1553328,900
34,../../data/meterdata/london/block_39.csv,24/04/2025 11:24:38 +02:00,24/04/2025 11:24:42 +02:00,904,1549008,905
35,../../data/meterdata/london/block_38.csv,24/04/2025 11:24:38 +02:00,24/04/2025 11:24:42 +02:00,744,1509936,900
36,../../data/meterdata/london/block_3.csv,24/04/2025 11:24:38 +02:00,24/04/2025 11:24:42 +02:00,366,1370160,846
37,../../data/meterdata/london/block_2.csv,24/04/2025 11:24:38 +02:00,24/04/2025 11:24:42 +02:00,566,1477008,857
38,../../data/meterdata/london/block_10.csv,24/04/2025 11:24:38 +02:00,24/04/2025 11:24:42 +02:00,842,1510944,864
