Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
1,../../data/meterdata/london/block_71.csv,24/04/2025 12:26:06 +02:00,24/04/2025 12:26:13 +02:00,227,1384128,864
2,../../data/meterdata/london/block_65.csv,24/04/2025 12:26:13 +02:00,24/04/2025 12:26:20 +02:00,667,1330608,882
3,../../data/meterdata/london/block_59.csv,24/04/2025 12:26:20 +02:00,24/04/2025 12:26:27 +02:00,508,1425696,846
4,../../data/meterdata/london/block_58.csv,24/04/2025 12:26:27 +02:00,24/04/2025 12:26:33 +02:00,605,1470144,900
5,../../data/meterdata/london/block_64.csv,24/04/2025 12:26:33 +02:00,24/04/2025 12:26:41 +02:00,650,1509264,869
6,../../data/meterdata/london/block_70.csv,24/04/2025 12:26:41 +02:00,24/04/2025 12:26:47 +02:00,458,1383312,864
7,../../data/meterdata/london/block_99.csv,24/04/2025 12:26:47 +02:00,24/04/2025 12:26:55 +02:00,485,1594800,900
8,../../data/meterdata/london/block_66.csv,24/04/2025 12:26:55 +02:00,24/04/2025 12:27:01 +02:00,962,1288656,882
9,../../data/meterdata/london/block_72.csv,24/04/2025 12:27:01 +02:00,24/04/2025 12:27:07 +02:00,783,1387248,900
10,../../data/meterdata/london/block_73.csv,24/04/2025 12:27:07 +02:00,24/04/2025 12:27:16 +02:00,134,1368000,882
11,../../data/meterdata/london/block_67.csv,24/04/2025 12:27:16 +02:00,24/04/2025 12:27:24 +02:00,326,1429104,900
12,../../data/meterdata/london/block_98.csv,24/04/2025 12:27:24 +02:00,24/04/2025 12:27:33 +02:00,751,1617744,900
13,../../data/meterdata/london/block_88.csv,24/04/2025 12:27:33 +02:00,24/04/2025 12:27:41 +02:00,102,1394064,864
14,../../data/meterdata/london/block_63.csv,24/04/2025 12:27:41 +02:00,24/04/2025 12:27:51 +02:00,147,1552896,887
15,../../data/meterdata/london/block_77.csv,24/04/2025 12:27:51 +02:00,24/04/2025 12:28:02 +02:00,595,1503408,900
16,../../data/meterdata/london/block_76.csv,24/04/2025 12:28:02 +02:00,24/04/2025 12:28:12 +02:00,550,1537920,882
17,../../data/meterdata/london/block_62.csv,24/04/2025 12:28:12 +02:00,24/04/2025 12:28:24 +02:00,939,1492608,887
18,../../data/meterdata/london/block_89.csv,24/04/2025 12:28:24 +02:00,24/04/2025 12:28:35 +02:00,315,1410384,882
