Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
1,../../data/meterdata/london/block_71.csv,24/04/2025 13:32:57 +02:00,24/04/2025 13:33:03 +02:00,5357,1384128,864
2,../../data/meterdata/london/block_65.csv,24/04/2025 13:33:03 +02:00,24/04/2025 13:33:08 +02:00,5753,1330608,882
3,../../data/meterdata/london/block_59.csv,24/04/2025 13:33:08 +02:00,24/04/2025 13:33:14 +02:00,5637,1425696,846
4,../../data/meterdata/london/block_58.csv,24/04/2025 13:33:14 +02:00,24/04/2025 13:33:21 +02:00,7180,1470144,900
5,../../data/meterdata/london/block_64.csv,24/04/2025 13:33:21 +02:00,24/04/2025 13:33:29 +02:00,7924,1509264,869
6,../../data/meterdata/london/block_70.csv,24/04/2025 13:33:29 +02:00,24/04/2025 13:33:36 +02:00,6654,1383312,864
7,../../data/meterdata/london/block_99.csv,24/04/2025 13:33:36 +02:00,24/04/2025 13:33:44 +02:00,7964,1594800,900
8,../../data/meterdata/london/block_66.csv,24/04/2025 13:33:44 +02:00,24/04/2025 13:33:50 +02:00,6378,1288656,882
9,../../data/meterdata/london/block_72.csv,24/04/2025 13:33:50 +02:00,24/04/2025 13:33:57 +02:00,6882,1387248,900
10,../../data/meterdata/london/block_73.csv,24/04/2025 13:33:57 +02:00,24/04/2025 13:34:04 +02:00,6992,1368000,882
11,../../data/meterdata/london/block_67.csv,24/04/2025 13:34:04 +02:00,24/04/2025 13:34:11 +02:00,7159,1429104,900
12,../../data/meterdata/london/block_98.csv,24/04/2025 13:34:11 +02:00,24/04/2025 13:34:19 +02:00,8033,1617744,900
13,../../data/meterdata/london/block_88.csv,24/04/2025 13:34:19 +02:00,24/04/2025 13:34:26 +02:00,6660,1394064,864
14,../../data/meterdata/london/block_63.csv,24/04/2025 13:34:26 +02:00,24/04/2025 13:34:34 +02:00,7745,1552896,887
15,../../data/meterdata/london/block_77.csv,24/04/2025 13:34:34 +02:00,24/04/2025 13:34:41 +02:00,7331,1503408,900
16,../../data/meterdata/london/block_76.csv,24/04/2025 13:34:41 +02:00,24/04/2025 13:34:49 +02:00,7968,1537920,882
17,../../data/meterdata/london/block_62.csv,24/04/2025 13:34:49 +02:00,24/04/2025 13:34:56 +02:00,7586,1492608,887
18,../../data/meterdata/london/block_89.csv,24/04/2025 13:34:56 +02:00,24/04/2025 13:35:04 +02:00,7142,1410384,882
19,../../data/meterdata/london/block_48.csv,24/04/2025 13:35:04 +02:00,24/04/2025 13:35:12 +02:00,8183,1592304,900
20,../../data/meterdata/london/block_74.csv,24/04/2025 13:35:12 +02:00,24/04/2025 13:35:19 +02:00,7507,1524096,900
21,../../data/meterdata/london/block_60.csv,24/04/2025 13:35:19 +02:00,24/04/2025 13:35:26 +02:00,6937,1362672,882
22,../../data/meterdata/london/block_61.csv,24/04/2025 13:35:26 +02:00,24/04/2025 13:35:34 +02:00,7411,1416048,900
23,../../data/meterdata/london/block_75.csv,24/04/2025 13:35:34 +02:00,24/04/2025 13:35:41 +02:00,7544,1554048,905
