Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
1,../../data/meterdata/london/block_71.csv,24/04/2025 13:50:19 +02:00,24/04/2025 13:50:24 +02:00,4753,1384128,864
2,../../data/meterdata/london/block_65.csv,24/04/2025 13:50:24 +02:00,24/04/2025 13:50:29 +02:00,5194,1330608,882
3,../../data/meterdata/london/block_59.csv,24/04/2025 13:50:29 +02:00,24/04/2025 13:50:34 +02:00,5307,1425696,846
4,../../data/meterdata/london/block_58.csv,24/04/2025 13:50:34 +02:00,24/04/2025 13:50:40 +02:00,5848,1470144,900
5,../../data/meterdata/london/block_64.csv,24/04/2025 13:50:40 +02:00,24/04/2025 13:50:47 +02:00,6796,1509264,869
6,../../data/meterdata/london/block_70.csv,24/04/2025 13:50:47 +02:00,24/04/2025 13:50:53 +02:00,6036,1383312,864
7,../../data/meterdata/london/block_99.csv,24/04/2025 13:50:53 +02:00,24/04/2025 13:51:00 +02:00,6874,1594800,900
8,../../data/meterdata/london/block_66.csv,24/04/2025 13:51:00 +02:00,24/04/2025 13:51:05 +02:00,5606,1288656,882
9,../../data/meterdata/london/block_72.csv,24/04/2025 13:51:05 +02:00,24/04/2025 13:51:11 +02:00,5828,1387248,900
10,../../data/meterdata/london/block_73.csv,24/04/2025 13:51:11 +02:00,24/04/2025 13:51:17 +02:00,5920,1368000,882
11,../../data/meterdata/london/block_67.csv,24/04/2025 13:51:17 +02:00,24/04/2025 13:51:23 +02:00,5943,1429104,900
12,../../data/meterdata/london/block_98.csv,24/04/2025 13:51:23 +02:00,24/04/2025 13:51:30 +02:00,6688,1617744,900
13,../../data/meterdata/london/block_88.csv,24/04/2025 13:51:30 +02:00,24/04/2025 13:51:36 +02:00,6104,1394064,864
14,../../data/meterdata/london/block_63.csv,24/04/2025 13:51:36 +02:00,24/04/2025 13:51:44 +02:00,7535,1552896,887
15,../../data/meterdata/london/block_77.csv,24/04/2025 13:51:44 +02:00,24/04/2025 13:51:51 +02:00,7078,1503408,900
16,../../data/meterdata/london/block_76.csv,24/04/2025 13:51:51 +02:00,24/04/2025 13:51:58 +02:00,7124,1537920,882
17,../../data/meterdata/london/block_62.csv,24/04/2025 13:51:58 +02:00,24/04/2025 13:52:04 +02:00,6722,1492608,887
18,../../data/meterdata/london/block_89.csv,24/04/2025 13:52:04 +02:00,24/04/2025 13:52:11 +02:00,6425,1410384,882
