Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
1,../../data/meterdata/london/block_71.csv,24/04/2025 16:47:36 +02:00,24/04/2025 16:47:40 +02:00,3319,1384128,864
2,../../data/meterdata/london/block_65.csv,24/04/2025 16:47:40 +02:00,24/04/2025 16:47:43 +02:00,3126,1330608,882
3,../../data/meterdata/london/block_59.csv,24/04/2025 16:47:43 +02:00,24/04/2025 16:47:47 +02:00,3891,1425696,846
4,../../data/meterdata/london/block_58.csv,24/04/2025 16:47:47 +02:00,24/04/2025 16:47:51 +02:00,3945,1470144,900
5,../../data/meterdata/london/block_64.csv,24/04/2025 16:47:51 +02:00,24/04/2025 16:47:55 +02:00,4124,1509264,869
6,../../data/meterdata/london/block_70.csv,24/04/2025 16:47:55 +02:00,24/04/2025 16:47:59 +02:00,3848,1383312,864
7,../../data/meterdata/london/block_99.csv,24/04/2025 16:47:59 +02:00,24/04/2025 16:48:03 +02:00,4466,1594800,900
8,../../data/meterdata/london/block_66.csv,24/04/2025 16:48:03 +02:00,24/04/2025 16:48:06 +02:00,3417,1288656,882
9,../../data/meterdata/london/block_72.csv,24/04/2025 16:48:06 +02:00,24/04/2025 16:48:10 +02:00,3889,1387248,900
10,../../data/meterdata/london/block_73.csv,24/04/2025 16:48:10 +02:00,24/04/2025 16:48:14 +02:00,3728,1368000,882
11,../../data/meterdata/london/block_67.csv,24/04/2025 16:48:14 +02:00,24/04/2025 16:48:18 +02:00,3955,1429104,900
12,../../data/meterdata/london/block_98.csv,24/04/2025 16:48:18 +02:00,24/04/2025 16:48:23 +02:00,4626,1617744,900
13,../../data/meterdata/london/block_88.csv,24/04/2025 16:48:23 +02:00,24/04/2025 16:48:27 +02:00,3994,1394064,864
14,../../data/meterdata/london/block_63.csv,24/04/2025 16:48:27 +02:00,24/04/2025 16:48:31 +02:00,4216,1552896,887
15,../../data/meterdata/london/block_77.csv,24/04/2025 16:48:31 +02:00,24/04/2025 16:48:35 +02:00,4419,1503408,900
16,../../data/meterdata/london/block_76.csv,24/04/2025 16:48:36 +02:00,24/04/2025 16:48:40 +02:00,4462,1537920,882
17,../../data/meterdata/london/block_62.csv,24/04/2025 16:48:40 +02:00,24/04/2025 16:48:44 +02:00,4122,1492608,887
18,../../data/meterdata/london/block_89.csv,24/04/2025 16:48:44 +02:00,24/04/2025 16:48:48 +02:00,4077,1410384,882
19,../../data/meterdata/london/block_48.csv,24/04/2025 16:48:48 +02:00,24/04/2025 16:48:53 +02:00,4994,1592304,900
20,../../data/meterdata/london/block_74.csv,24/04/2025 16:48:53 +02:00,24/04/2025 16:48:58 +02:00,4622,1524096,900
21,../../data/meterdata/london/block_60.csv,24/04/2025 16:48:58 +02:00,24/04/2025 16:49:02 +02:00,4436,1362672,882
22,../../data/meterdata/london/block_61.csv,24/04/2025 16:49:02 +02:00,24/04/2025 16:49:06 +02:00,3898,1416048,900
23,../../data/meterdata/london/block_75.csv,24/04/2025 16:49:06 +02:00,24/04/2025 16:49:11 +02:00,4719,1554048,905
24,../../data/meterdata/london/block_49.csv,24/04/2025 16:49:11 +02:00,24/04/2025 16:49:16 +02:00,4794,1529808,900
25,../../data/meterdata/london/block_108.csv,24/04/2025 16:49:16 +02:00,24/04/2025 16:49:21 +02:00,4802,1579824,900
26,../../data/meterdata/london/block_12.csv,24/04/2025 16:49:21 +02:00,24/04/2025 16:49:26 +02:00,4970,1580688,882
27,../../data/meterdata/london/block_4.csv,24/04/2025 16:49:26 +02:00,24/04/2025 16:49:30 +02:00,4656,1463520,864
28,../../data/meterdata/london/block_5.csv,24/04/2025 16:49:30 +02:00,24/04/2025 16:49:35 +02:00,4540,1404816,869
29,../../data/meterdata/london/block_13.csv,24/04/2025 16:49:35 +02:00,24/04/2025 16:49:40 +02:00,4768,1563504,864
30,../../data/meterdata/london/block_109.csv,24/04/2025 16:49:40 +02:00,24/04/2025 16:49:44 +02:00,4433,1462752,846
31,../../data/meterdata/london/block_11.csv,24/04/2025 16:49:44 +02:00,24/04/2025 16:49:49 +02:00,4728,1553328,900
32,../../data/meterdata/london/block_39.csv,24/04/2025 16:49:49 +02:00,24/04/2025 16:49:54 +02:00,5320,1549008,905
33,../../data/meterdata/london/block_7.csv,24/04/2025 16:49:54 +02:00,24/04/2025 16:49:58 +02:00,4233,1458432,810
34,../../data/meterdata/london/block_6.csv,24/04/2025 16:49:58 +02:00,24/04/2025 16:50:03 +02:00,4260,1396512,846
35,../../data/meterdata/london/block_38.csv,24/04/2025 16:50:03 +02:00,24/04/2025 16:50:07 +02:00,4449,1509936,900
36,../../data/meterdata/london/block_10.csv,24/04/2025 16:50:07 +02:00,24/04/2025 16:50:12 +02:00,4860,1510944,864
37,../../data/meterdata/london/block_28.csv,24/04/2025 16:50:12 +02:00,24/04/2025 16:50:17 +02:00,5378,1714080,900
38,../../data/meterdata/london/block_14.csv,24/04/2025 16:50:17 +02:00,24/04/2025 16:50:22 +02:00,4994,1592736,900
39,../../data/meterdata/london/block_2.csv,24/04/2025 16:50:22 +02:00,24/04/2025 16:50:27 +02:00,4723,1477008,857
40,../../data/meterdata/london/block_3.csv,24/04/2025 16:50:27 +02:00,24/04/2025 16:50:31 +02:00,4009,1370160,846
41,../../data/meterdata/london/block_15.csv,24/04/2025 16:50:31 +02:00,24/04/2025 16:50:36 +02:00,4795,1569984,900
42,../../data/meterdata/london/block_29.csv,24/04/2025 16:50:36 +02:00,24/04/2025 16:50:41 +02:00,4930,1606896,900
43,../../data/meterdata/london/block_17.csv,24/04/2025 16:50:41 +02:00,24/04/2025 16:50:45 +02:00,4600,1478832,882
44,../../data/meterdata/london/block_1.csv,24/04/2025 16:50:45 +02:00,24/04/2025 16:50:50 +02:00,4722,1499664,900
45,../../data/meterdata/london/block_0.csv,24/04/2025 16:50:50 +02:00,24/04/2025 16:50:54 +02:00,3800,1213728,905
46,../../data/meterdata/london/block_16.csv,24/04/2025 16:50:54 +02:00,24/04/2025 16:50:59 +02:00,5160,1507632,900
47,../../data/meterdata/london/block_101.csv,24/04/2025 16:50:59 +02:00,24/04/2025 16:51:04 +02:00,4612,1423488,900
48,../../data/meterdata/london/block_33.csv,24/04/2025 16:51:04 +02:00,24/04/2025 16:51:09 +02:00,4936,1567392,905
49,../../data/meterdata/london/block_27.csv,24/04/2025 16:51:09 +02:00,24/04/2025 16:51:14 +02:00,5145,1594944,882
50,../../data/meterdata/london/block_26.csv,24/04/2025 16:51:14 +02:00,24/04/2025 16:51:19 +02:00,4936,1428432,900
