Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
1,../../data/meterdata/london/block_71.csv,24/04/2025 17:06:57 +02:00,24/04/2025 17:06:58 +02:00,1774,1384128,864
2,../../data/meterdata/london/block_65.csv,24/04/2025 17:06:58 +02:00,24/04/2025 17:07:00 +02:00,1610,1330608,882
3,../../data/meterdata/london/block_59.csv,24/04/2025 17:07:00 +02:00,24/04/2025 17:07:01 +02:00,874,1425696,846
4,../../data/meterdata/london/block_58.csv,24/04/2025 17:07:01 +02:00,24/04/2025 17:07:02 +02:00,865,1470144,900
5,../../data/meterdata/london/block_64.csv,24/04/2025 17:07:02 +02:00,24/04/2025 17:07:03 +02:00,854,1509264,869
6,../../data/meterdata/london/block_70.csv,24/04/2025 17:07:03 +02:00,24/04/2025 17:07:03 +02:00,801,1383312,864
7,../../data/meterdata/london/block_99.csv,24/04/2025 17:07:03 +02:00,24/04/2025 17:07:04 +02:00,901,1594800,900
8,../../data/meterdata/london/block_66.csv,24/04/2025 17:07:04 +02:00,24/04/2025 17:07:05 +02:00,747,1288656,882
9,../../data/meterdata/london/block_72.csv,24/04/2025 17:07:05 +02:00,24/04/2025 17:07:06 +02:00,796,1387248,900
10,../../data/meterdata/london/block_73.csv,24/04/2025 17:07:06 +02:00,24/04/2025 17:07:07 +02:00,797,1368000,882
11,../../data/meterdata/london/block_67.csv,24/04/2025 17:07:07 +02:00,24/04/2025 17:07:08 +02:00,823,1429104,900
12,../../data/meterdata/london/block_98.csv,24/04/2025 17:07:08 +02:00,24/04/2025 17:07:08 +02:00,936,1617744,900
13,../../data/meterdata/london/block_88.csv,24/04/2025 17:07:08 +02:00,24/04/2025 17:07:09 +02:00,802,1394064,864
14,../../data/meterdata/london/block_63.csv,24/04/2025 17:07:09 +02:00,24/04/2025 17:07:10 +02:00,905,1552896,887
15,../../data/meterdata/london/block_77.csv,24/04/2025 17:07:10 +02:00,24/04/2025 17:07:11 +02:00,862,1503408,900
16,../../data/meterdata/london/block_76.csv,24/04/2025 17:07:11 +02:00,24/04/2025 17:07:12 +02:00,944,1537920,882
17,../../data/meterdata/london/block_62.csv,24/04/2025 17:07:12 +02:00,24/04/2025 17:07:13 +02:00,861,1492608,887
18,../../data/meterdata/london/block_89.csv,24/04/2025 17:07:13 +02:00,24/04/2025 17:07:14 +02:00,811,1410384,882
19,../../data/meterdata/london/block_48.csv,24/04/2025 17:07:14 +02:00,24/04/2025 17:07:15 +02:00,887,1592304,900
20,../../data/meterdata/london/block_74.csv,24/04/2025 17:07:15 +02:00,24/04/2025 17:07:15 +02:00,869,1524096,900
21,../../data/meterdata/london/block_60.csv,24/04/2025 17:07:15 +02:00,24/04/2025 17:07:16 +02:00,786,1362672,882
22,../../data/meterdata/london/block_61.csv,24/04/2025 17:07:16 +02:00,24/04/2025 17:07:17 +02:00,811,1416048,900
23,../../data/meterdata/london/block_75.csv,24/04/2025 17:07:17 +02:00,24/04/2025 17:07:18 +02:00,893,1554048,905
24,../../data/meterdata/london/block_49.csv,24/04/2025 17:07:18 +02:00,24/04/2025 17:07:19 +02:00,880,1529808,900
25,../../data/meterdata/london/block_108.csv,24/04/2025 17:07:19 +02:00,24/04/2025 17:07:20 +02:00,921,1579824,900
26,../../data/meterdata/london/block_12.csv,24/04/2025 17:07:20 +02:00,24/04/2025 17:07:21 +02:00,915,1580688,882
27,../../data/meterdata/london/block_4.csv,24/04/2025 17:07:21 +02:00,24/04/2025 17:07:21 +02:00,846,1463520,864
28,../../data/meterdata/london/block_5.csv,24/04/2025 17:07:21 +02:00,24/04/2025 17:07:22 +02:00,832,1404816,869
29,../../data/meterdata/london/block_13.csv,24/04/2025 17:07:22 +02:00,24/04/2025 17:07:23 +02:00,919,1563504,864
30,../../data/meterdata/london/block_109.csv,24/04/2025 17:07:23 +02:00,24/04/2025 17:07:24 +02:00,864,1462752,846
31,../../data/meterdata/london/block_11.csv,24/04/2025 17:07:24 +02:00,24/04/2025 17:07:25 +02:00,915,1553328,900
32,../../data/meterdata/london/block_39.csv,24/04/2025 17:07:25 +02:00,24/04/2025 17:07:26 +02:00,927,1549008,905
33,../../data/meterdata/london/block_7.csv,24/04/2025 17:07:26 +02:00,24/04/2025 17:07:27 +02:00,867,1458432,810
34,../../data/meterdata/london/block_6.csv,24/04/2025 17:07:27 +02:00,24/04/2025 17:07:28 +02:00,829,1396512,846
35,../../data/meterdata/london/block_38.csv,24/04/2025 17:07:28 +02:00,24/04/2025 17:07:29 +02:00,899,1509936,900
36,../../data/meterdata/london/block_10.csv,24/04/2025 17:07:29 +02:00,24/04/2025 17:07:29 +02:00,914,1510944,864
37,../../data/meterdata/london/block_28.csv,24/04/2025 17:07:29 +02:00,24/04/2025 17:07:30 +02:00,1001,1714080,900
38,../../data/meterdata/london/block_14.csv,24/04/2025 17:07:30 +02:00,24/04/2025 17:07:31 +02:00,943,1592736,900
39,../../data/meterdata/london/block_2.csv,24/04/2025 17:07:31 +02:00,24/04/2025 17:07:32 +02:00,883,1477008,857
40,../../data/meterdata/london/block_3.csv,24/04/2025 17:07:32 +02:00,24/04/2025 17:07:33 +02:00,817,1370160,846
41,../../data/meterdata/london/block_15.csv,24/04/2025 17:07:33 +02:00,24/04/2025 17:07:34 +02:00,926,1569984,900
42,../../data/meterdata/london/block_29.csv,24/04/2025 17:07:34 +02:00,24/04/2025 17:07:35 +02:00,942,1606896,900
43,../../data/meterdata/london/block_17.csv,24/04/2025 17:07:35 +02:00,24/04/2025 17:07:36 +02:00,860,1478832,882
44,../../data/meterdata/london/block_1.csv,24/04/2025 17:07:36 +02:00,24/04/2025 17:07:37 +02:00,901,1499664,900
45,../../data/meterdata/london/block_0.csv,24/04/2025 17:07:37 +02:00,24/04/2025 17:07:37 +02:00,782,1213728,905
46,../../data/meterdata/london/block_16.csv,24/04/2025 17:07:37 +02:00,24/04/2025 17:07:38 +02:00,918,1507632,900
47,../../data/meterdata/london/block_101.csv,24/04/2025 17:07:38 +02:00,24/04/2025 17:07:39 +02:00,869,1423488,900
48,../../data/meterdata/london/block_33.csv,24/04/2025 17:07:39 +02:00,24/04/2025 17:07:40 +02:00,966,1567392,905
49,../../data/meterdata/london/block_27.csv,24/04/2025 17:07:40 +02:00,24/04/2025 17:07:41 +02:00,992,1594944,882
50,../../data/meterdata/london/block_26.csv,24/04/2025 17:07:41 +02:00,24/04/2025 17:07:42 +02:00,915,1428432,900
51,../../data/meterdata/london/block_32.csv,24/04/2025 17:07:42 +02:00,24/04/2025 17:07:43 +02:00,927,1491120,882
52,../../data/meterdata/london/block_100.csv,24/04/2025 17:07:43 +02:00,24/04/2025 17:07:44 +02:00,922,1508160,882
53,../../data/meterdata/london/block_102.csv,24/04/2025 17:07:44 +02:00,24/04/2025 17:07:45 +02:00,858,1389600,882
54,../../data/meterdata/london/block_24.csv,24/04/2025 17:07:45 +02:00,24/04/2025 17:07:46 +02:00,938,1553808,900
55,../../data/meterdata/london/block_30.csv,24/04/2025 17:07:46 +02:00,24/04/2025 17:07:47 +02:00,976,1660224,900
56,../../data/meterdata/london/block_18.csv,24/04/2025 17:07:47 +02:00,24/04/2025 17:07:48 +02:00,919,1511712,900
57,../../data/meterdata/london/block_19.csv,24/04/2025 17:07:48 +02:00,24/04/2025 17:07:49 +02:00,931,1568688,892
58,../../data/meterdata/london/block_31.csv,24/04/2025 17:07:49 +02:00,24/04/2025 17:07:50 +02:00,944,1530576,900
59,../../data/meterdata/london/block_25.csv,24/04/2025 17:07:50 +02:00,24/04/2025 17:07:51 +02:00,976,1534608,900
60,../../data/meterdata/london/block_103.csv,24/04/2025 17:07:51 +02:00,24/04/2025 17:07:51 +02:00,922,1520208,905
61,../../data/meterdata/london/block_107.csv,24/04/2025 17:07:51 +02:00,24/04/2025 17:07:52 +02:00,874,1478880,900
62,../../data/meterdata/london/block_21.csv,24/04/2025 17:07:52 +02:00,24/04/2025 17:07:53 +02:00,968,1621392,900
63,../../data/meterdata/london/block_35.csv,24/04/2025 17:07:53 +02:00,24/04/2025 17:07:54 +02:00,922,1515600,900
64,../../data/meterdata/london/block_34.csv,24/04/2025 17:07:54 +02:00,24/04/2025 17:07:55 +02:00,913,1509696,882
65,../../data/meterdata/london/block_20.csv,24/04/2025 17:07:55 +02:00,24/04/2025 17:07:56 +02:00,1050,1718448,905
66,../../data/meterdata/london/block_106.csv,24/04/2025 17:07:56 +02:00,24/04/2025 17:07:57 +02:00,908,1477440,900
67,../../data/meterdata/london/block_110.csv,24/04/2025 17:07:57 +02:00,24/04/2025 17:07:58 +02:00,885,1419024,902
68,../../data/meterdata/london/block_104.csv,24/04/2025 17:07:58 +02:00,24/04/2025 17:07:59 +02:00,957,1555056,900
69,../../data/meterdata/london/block_36.csv,24/04/2025 17:07:59 +02:00,24/04/2025 17:08:00 +02:00,913,1524912,882
70,../../data/meterdata/london/block_22.csv,24/04/2025 17:08:00 +02:00,24/04/2025 17:08:01 +02:00,1045,1583664,882
71,../../data/meterdata/london/block_8.csv,24/04/2025 17:08:01 +02:00,24/04/2025 17:08:02 +02:00,987,1560144,882
72,../../data/meterdata/london/block_9.csv,24/04/2025 17:08:02 +02:00,24/04/2025 17:08:03 +02:00,1080,1563072,900
73,../../data/meterdata/london/block_23.csv,24/04/2025 17:08:03 +02:00,24/04/2025 17:08:04 +02:00,900,1417296,900
74,../../data/meterdata/london/block_37.csv,24/04/2025 17:08:04 +02:00,24/04/2025 17:08:05 +02:00,1345,1509888,900
75,../../data/meterdata/london/block_105.csv,24/04/2025 17:08:05 +02:00,24/04/2025 17:08:06 +02:00,963,1517088,900
76,../../data/meterdata/london/block_111.csv,24/04/2025 17:08:06 +02:00,24/04/2025 17:08:06 +02:00,289,467520,288
77,../../data/meterdata/london/block_93.csv,24/04/2025 17:08:06 +02:00,24/04/2025 17:08:07 +02:00,998,1600032,900
78,../../data/meterdata/london/block_87.csv,24/04/2025 17:08:07 +02:00,24/04/2025 17:08:08 +02:00,975,1509600,869
79,../../data/meterdata/london/block_50.csv,24/04/2025 17:08:08 +02:00,24/04/2025 17:08:09 +02:00,919,1535520,864
